ticker,date,EBITDA,EBIT,Total Expenses,Basic EPS,Net Income,Research And Development,Selling General And Administration,Gross Profit,Total Revenue,Ordinary Shares Number,Tangible Book Value,Invested Capital,Net Tangible Assets,Total Capitalization,Retained Earnings,Total Liabilities Net Minority Interest,Total Assets,Net PPE,Capital Expenditure,currency
AAPL,2023-09-30,129188000000.0,117669000000.0,268984000000.0,6.16,96995000000.0,29915000000.0,24932000000.0,169148000000.0,383285000000.0,15550061000.0,62146000000.0,173234000000.0,62146000000.0,157427000000.0,-214000000.0,290437000000.0,352583000000.0,43715000000.0,-10959000000.0,USD
AAPL,2022-09-30,133138000000.0,122034000000.0,274891000000.0,6.15,99803000000.0,26251000000.0,25094000000.0,170782000000.0,394328000000.0,15943425000.0,50672000000.0,170741000000.0,50672000000.0,149631000000.0,-3068000000.0,302083000000.0,352755000000.0,42117000000.0,-10708000000.0,USD
AAPL,2021-09-30,123136000000.0,111852000000.0,256868000000.0,5.67,94680000000.0,21914000000.0,21973000000.0,152836000000.0,365817000000.0,16426786000.0,63090000000.0,187809000000.0,63090000000.0,172196000000.0,5562000000.0,287912000000.0,351002000000.0,39440000000.0,-11085000000.0,USD
AAPL,2020-09-30,81020000000.0,69964000000.0,208227000000.0,3.31,57411000000.0,18752000000.0,19916000000.0,104956000000.0,274515000000.0,16976763000.0,65339000000.0,177775000000.0,65339000000.0,164006000000.0,14966000000.0,258549000000.0,323888000000.0,36766000000.0,-7309000000.0,USD
MSFT,2023-06-30,105140000000.0,91279000000.0,123392000000.0,9.72,72361000000.0,27195000000.0,30334000000.0,146052000000.0,211915000000.0,7432000000.0,128971000000.0,253460000000.0,128971000000.0,248213000000.0,118848000000.0,205753000000.0,411976000000.0,109987000000.0,-28107000000.0,USD
MSFT,2022-06-30,100239000000.0,85779000000.0,114887000000.0,9.7,72738000000.0,24512000000.0,27725000000.0,135620000000.0,198270000000.0,7464000000.0,87720000000.0,216323000000.0,87720000000.0,213574000000.0,84281000000.0,198298000000.0,364840000000.0,87546000000.0,-23886000000.0,USD
MSFT,2021-06-30,85134000000.0,73448000000.0,98172000000.0,8.12,61271000000.0,20716000000.0,25224000000.0,115856000000.0,168088000000.0,7519000000.0,84477000000.0,200134000000.0,84477000000.0,192062000000.0,57055000000.0,191791000000.0,333779000000.0,70803000000.0,-20622000000.0,USD
MSFT,2020-06-30,68423000000.0,55627000000.0,90056000000.0,5.82,44281000000.0,19269000000.0,24709000000.0,96937000000.0,143015000000.0,7571000000.0,67915000000.0,181631000000.0,67915000000.0,177882000000.0,34566000000.0,183007000000.0,301311000000.0,52904000000.0,-15441000000.0,USD
GOOGL,2023-12-31,97971000000.0,86025000000.0,223101000000.0,5.84,73795000000.0,45427000000.0,44342000000.0,174062000000.0,307394000000.0,12460000000.0,254181000000.0,295249000000.0,254181000000.0,295249000000.0,211247000000.0,119013000000.0,402392000000.0,148436000000.0,-32251000000.0,USD
GOOGL,2022-12-31,85160000000.0,71685000000.0,207994000000.0,4.59,59972000000.0,39500000000.0,42291000000.0,156633000000.0,282836000000.0,12849000000.0,227184000000.0,269001000000.0,227184000000.0,269001000000.0,195563000000.0,109120000000.0,365264000000.0,127049000000.0,-31485000000.0,USD
